IDNOREMP;IDTIPODOC;NUMDOC;DV;INSCRIP  MATRIC / RENOVACIÓN ;CAMARA;INSCRIPCIÓN /MATRICULA;CIIU;NOVEDAD;RAZSOC;NOMCOM;SIGLA;DIRECCION;IDDEPTO;IDMCIPIO;TEL;EXT;EMAIL;WEB;DIRECCION NOT;IDDEPTO  NOT;IDMCIPIO NOT;TEL NOT;EXT NOT;EMAIL NOT;WEB NOT;ORGJUR;NOMREP;CSEDE;prioridad;orgjucual;fechaconst;fechahasta;capsocin;capsocinpu;capsocinpr;capsocie;capsociepu;capsociepr;estadoact;otro;estagrop;estminero;estind;estservpub;estconst;estcom;estreshot;esttrans;estcomunic;estfinanc;estservcom;uniaux;fechadili;responde;carresponde;teler;faxr;emailres;;aa;aanotifica;estser;otrose;actie;actic;lgg;estcart;correlativa;envcorr;vericorr;fec_correo;activa;fechadist
484;1;890100251;;;;;2394;99;CEMENTOS ARGOS S.A.;CEMENTOS ARGOS;;VIA 40 LAS FLORES;5;1;3556069;;jmarquez@argos.com.co;www.argos.com.co;CL 7 D 43 A 99;5;1;3198700;;jmarquez@argos.com.co;www.argos.com.co;5;RICARDO ANDRES SIERRA FERNANDEZ;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
1316;1;890900608;;;;;1081;99;ALMACENES EXITO S. A.;ALMACENES EXITO S. A..;;Cra 48 32 B Sur- 139;5;266;3396565;;ALMACENES.EXITO@GRUPO-EXITO.COM;www.exito.com;KRA 68 D # 19 - 35;11;1;5707500;;dcastro@grupo-exito.com;www.exito.com;5;CARLOS MARIO GIRALDO;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
5575;1;860004828;;;;;1090;99;ALIMENTOS FINCA S.A.S.;FINCA S.A.S;;CLL 36 No. 56-76;5;360;3787790;;pablo.marquez@finca.co;www.finca.com;CLL 36 No. 56-76;5;360;3787790;;pablo.marquez@finca.co, enid.munoz@finca.co;www.finca.com;5;PABLO MARQUEZ CUARTAS;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
5608;1;800169165;;;;;1011;99;SUPERPOLLO PAISA S.A.S;SUPERPOLLO PAISA;;CL 7D # 43A-99 OF 704;5;1;3252222;;juan.murillo@opav.co;www.superpollo.com;CLL 7 D # 43 A 99 OF 704;5;1;3252222;;juan.murillo@opav.co;www.superpollo.com;14;FEDERICO GALLEGO DAVILA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
8571;2;800047031;;;;;1620;99;TABLEMAC S.A;TABLEMAC S.A.;;CRA. 43  No.19-127;5;42;3841000;;gbaena@tablemac.com;www.tablemac.com;CRA. 43  No.19-127;5;1;3841000;;gbaena@tablemac.com;www.tablemac.com;5;Juan Fernando Vasquez Duque;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
8805;1;891401858;;;;;1011;99;PIMPOLLO S.A.S.;PIMPOLLO;;CL 7 D No.43A-99 Of.  704N TORRE ALMAGRAN;5;1;3252222;;federico.gallego@opav.co;www.pimpollo.com.co;CL 7 D No.43A-99 Of.  704N TORRE ALMAGRAN;5;1;3252222;;federico.gallego@opav.co;www.pimpollo.com.co;14;federico Gallego Davila;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
9425;1;890922549;;;;;1090;99;PREMEX S.A.;PREMEX S.A.;;CARRERA 50 # 2 SUR - 251;5;1;6041500;;premex@premexcorp.com.co;www.premex.com.co;CARRERA 50 # 2 SUR - 251;5;1;6041500;;premex@premexcorp.com.co;www.premex.com.co;5;CARLOS EDUARDO MESA MESA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
9430;1;890900286;;;;;1101;99;DEPARTAMENTO DE ANTIOQUIA;FABRICA DE LICORES Y ALCOHOLES DE ANTIOQUIA;;CRA 50 # 12 SUR 149;5;1;3837000;;Archivo@fla.com.co;www.fla.com.co;CRA 50 # 12 SUR - 149;5;1;3837000;;jhon.holgin@antioquia.gov.co;www.fla.com.co;8;FERNANDO RESTREPO RESTREPO;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
9581;1;811006621;;;;;1392;99;INDUSTRIAS FATELARES S. A. S;INDUSTRIAS FATELARES S. A. S.;;CALLE 60 No. 45 a 240;5;360;3757000;;mgonzalez@fatelares.com.co;www.fatelares.com.co;CLL 60 No. 45 A 240;5;360;3757000;;mgonzalez@fatelares.com.co;www.fatelares.com.co;1;JUAN RAFAEL ARANGO PAVA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
9649;1;800080027;;;;;1410;99;EXPOFARO S.A.S;EXPOFARO S.A.S;;KR 52 # 29A-111 LC 211;5;1;3500030;;DIANA.HURTADO@FAROGROUP.COM.CO;WWW.EXPOFARO.COM;KR 52 # 29 A - 111   LOCAL 211;5;1;3500030;;DIANA.HURTADO@FAROGROUP.COM.CO;WWW.EXPOFARO.COM;14;JUAN DAVID RODRIGUEZ MONTOYA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
